Servicio,Modelo,Anio,Version,Pestana,Categoria,Caracteristica
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SELECT,Amazon Alexa integrado
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SELECT,Sistema de telŽfono manos libres Bluetooth¨
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SELECT,Google integrado
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SELECT,Asistente de mensajer’a de texto manos libres
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SELECT,Apple CarPlay¨ inal‡mbrico
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SELECT,Android Autoª inal‡mbrico
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SEGURIDAD,Notificaci—n autom‡tica de colisi—n
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,SEGURIDAD,Llamada de emergencia S.O.S.
CONNECT SERVICES,Sentra,2026,Sense CVT,Paquetes,CONVENIENCIA,Encendido remoto de motor desde App
CONNECT SERVICES,Sentra,2026,Sense CVT,Manuales Y Gu’as,DOCUMENTOS,Manual de propietario Sentra 2026
CONNECT SERVICES,Sentra,2026,Sense CVT,Manuales Y Gu’as,DOCUMENTOS,Gu’a r‡pida de Connect Services
CONNECT FINDER,Sentra,2026,Sense CVT,Paquetes,SELECT,Localizaci—n de veh’culo en tiempo real por GPS
CONNECT FINDER,Sentra,2026,Sense CVT,Paquetes,SEGURIDAD,Alerta de movimiento no autorizado
CONNECT FINDER,Sentra,2026,Sense CVT,Paquetes,CONVENIENCIA,Geocercas de velocidad
